experiment,seed,rep,m,n,rank,theta,noise_sigma,mp_edge,top_sv,second_sv,detectable_rank,stable_rank,effective_rank,left_overlap,right_overlap,mean_overlap
bbp,7,7,128,128,1,0.25,1.0,2.0,1.9714429671575022,1.91583257682581,0,32.68361410331149,77.3744532925278,0.0012740795749243935,0.0010737627944670983,0.0011739211846957458
bbp,7,8,128,128,1,0.25,1.0,2.0,1.913334859810768,1.8598575807164672,0,34.892246272393706,78.12980090093609,9.240416335593748e-05,0.0021984328675755077,0.0011454185154657227
bbp,7,9,128,128,1,0.25,1.0,2.0,1.9634104393689493,1.927101544366151,0,32.815228141998034,76.82352808417575,0.005828823662742257,0.0027499047534612106,0.004289364208101734
bbp,7,0,128,128,1,0.5,1.0,2.0,2.024816759926503,1.940122611536797,1,31.705226407304007,77.9385133924773,0.00574088583677052,0.0028774392994818103,0.004309162568126165
bbp,7,1,128,128,1,0.5,1.0,2.0,1.9846217766612815,1.9048997884900916,0,32.10671042639281,77.00854120057983,0.005217390945374002,0.0010356643720479803,0.003126527658710991
bbp,7,2,128,128,1,0.5,1.0,2.0,2.00861184195372,1.9197942794043938,1,32.113572181704114,77.30707737696372,0.0019257626158448438,0.0013047292170652704,0.0016152459164550572
bbp,7,3,128,128,1,0.5,1.0,2.0,1.965018896340663,1.9140076039431408,0,32.83839975484824,77.81105014163154,0.02035399005937868,0.06891417721385881,0.04463408363661875
bbp,7,4,128,128,1,0.5,1.0,2.0,1.9758890085647476,1.95387403189378,0,33.0351140726924,76.49660574611316,0.02115284732727977,0.0006588538183122921,0.010905850572796031
bbp,7,5,128,128,1,0.5,1.0,2.0,2.006061053963679,1.9173748733721354,1,31.484920365463747,78.21123073031757,0.002039952926166429,0.0006964454748492846,0.001368199200507857
bbp,7,6,128,128,1,0.5,1.0,2.0,1.9995807125628786,1.9261272841592658,0,31.994352831703626,77.36750294458705,0.006703601813150999,0.01552864602922889,0.011116123921189944
bbp,7,7,128,128,1,0.5,1.0,2.0,1.9849682596923837,1.9228579990189842,0,32.24507263986985,77.38608021286889,0.0015625977270966756,0.002486553142887987,0.002024575434992331
bbp,7,8,128,128,1,0.5,1.0,2.0,1.9578958991544966,1.9259232008824547,0,33.368552506432934,77.60315196454418,0.0017003652829636988,0.0008348413201705411,0.00126760330156712
bbp,7,9,128,128,1,0.5,1.0,2.0,1.9869855921426294,1.90901537354038,0,32.580341269369264,76.65751613654452,0.00026024308156986903,0.0036445676165082533,0.0019524053490390613
bbp,7,0,128,128,1,0.75,1.0,2.0,1.9837186554940935,1.949369505409092,0,32.441176622710366,77.0206680889544,0.12252412758459785,0.16660540990465622,0.14456476874462704
bbp,7,1,128,128,1,0.75,1.0,2.0,2.018490748916626,1.9508251091642645,1,32.058973773725185,77.07035186130933,0.05204681854317225,0.01244299130139594,0.032244904922284094
bbp,7,2,128,128,1,0.75,1.0,2.0,1.9461028941980159,1.9011153911067733,0,34.46598883987797,78.01036496890173,0.0024413999168586605,0.01839546964982923,0.010418434783343946
bbp,7,3,128,128,1,0.75,1.0,2.0,1.9554678657347977,1.9265601920436501,0,34.07906900969962,77.91233340523146,0.014511211475187488,0.05264169695788887,0.033576454216538175
bbp,7,4,128,128,1,0.75,1.0,2.0,1.9341313958986777,1.9149640320267793,0,34.41214290559951,78.0383221758387,0.03722533698593767,0.047375913901586,0.042300625443761834
bbp,7,5,128,128,1,0.75,1.0,2.0,2.0059546103329238,1.9470107598437327,1,31.71829445791922,77.19774675430978,0.13874025830263792,0.12019681668493273,0.12946853749378534
bbp,7,6,128,128,1,0.75,1.0,2.0,1.9136766626683634,1.869175763862795,0,34.72072902701674,77.7744375891643,0.0344374154614508,2.6320321567104973e-06,0.017220023746803755
bbp,7,7,128,128,1,0.75,1.0,2.0,1.944313107431542,1.9092546544343254,0,33.989244434422446,77.57066373677364,0.1110627721576994,0.10931897956936078,0.11019087586353009
bbp,7,8,128,128,1,0.75,1.0,2.0,1.9498039240182559,1.878006002413474,0,33.44149549721858,77.18827628193768,0.029439244122554702,0.031257448562485156,0.030348346342519927
bbp,7,9,128,128,1,0.75,1.0,2.0,2.003211183972563,1.917033988114297,1,32.02676170703355,77.09301424270711,0.05021701444484396,0.06053457038173232,0.05537579241328814
bbp,7,0,128,128,1,1.0,1.0,2.0,1.966039984113208,1.9015271835186882,0,33.45865170813576,77.22739919392264,0.14071277528001935,0.1331332681608208,0.1369230217204201
bbp,7,1,128,128,1,1.0,1.0,2.0,1.9876851429553781,1.9171941872558496,0,32.406830102703175,77.94289190121978,0.14362012772308122,0.1280153910588033,0.13581775939094226
bbp,7,2,128,128,1,1.0,1.0,2.0,1.9783918257877176,1.933703282181794,0,32.632936564007906,77.54144205443903,0.11986996810134501,0.13346927609460574,0.1266696220979754
bbp,7,3,128,128,1,1.0,1.0,2.0,1.965390326923744,1.9059476423788102,0,33.063651838840286,77.24261116106848,0.3337318607783157,0.34699082537831694,0.34036134307831634
bbp,7,4,128,128,1,1.0,1.0,2.0,1.9980387507046464,1.9353331993934737,0,32.66535292110675,77.06278157257312,0.17258806385406145,0.20167990259686017,0.18713398322546082
bbp,7,5,128,128,1,1.0,1.0,2.0,1.9647927669335195,1.955441880868922,0,33.566198453258835,76.97636531262033,0.06507258548943479,0.03701589956182243,0.05104424252562861
bbp,7,6,128,128,1,1.0,1.0,2.0,1.9836893638919775,1.9184058400851998,0,32.76377647434764,77.19574013690668,0.26726009637661113,0.19724974601001583,0.23225492119331348
bbp,7,7,128,128,1,1.0,1.0,2.0,1.9950254151961226,1.9329065045967082,0,32.391022333348644,77.88595780492025,0.2230601006092144,0.15215872499958877,0.18760941280440158
bbp,7,8,128,128,1,1.0,1.0,2.0,1.9887482940583694,1.9242060930655367,0,32.79427549326325,77.73201890541137,0.16106504699659133,0.19981559367550208,0.1804403203360467
bbp,7,9,128,128,1,1.0,1.0,2.0,1.9862572424880411,1.9310317287497203,0,32.523073144236214,77.41843997042942,0.27513875949663336,0.24328189160991395,0.25921032555327367
bbp,7,0,128,128,1,1.2,1.0,2.0,1.990544463187725,1.9254800241226384,0,32.616809575524876,77.83922173035678,0.09949205883454394,0.10919057821767449,0.10434131852610921
bbp,7,1,128,128,1,1.2,1.0,2.0,2.0590796010232664,1.9677511654838573,1,31.00231960041597,76.4149969382167,0.2941732342164272,0.3050045040643908,0.299588869140409
bbp,7,2,128,128,1,1.2,1.0,2.0,2.0559801583794397,1.8942566879884846,1,30.661001010225487,77.38162100904144,0.2992446296737741,0.23364013287977073,0.2664423812767724
