target,predictor,n,r2_log2_target,spearman,rmse_log2,run_dir,condition,seed
near_best_rank_gap_0.05,predicted_rank_detectable,48,0.6961540706156988,0.8406066921225371,0.7283841556904362,runs/20260612_181259_stage4_hard_s109,hard_knee,109
near_best_rank_gap_0.1,gradient_effective_rank,48,0.6609951728606172,0.8017123884825584,0.6232519804198055,runs/20260612_181259_stage4_hard_s109,hard_knee,109
near_best_rank_gap_0.2,predicted_rank_whitened_stable,48,0.7772323759791122,0.9196030474217552,0.3848701079585163,runs/20260612_181259_stage4_hard_s109,hard_knee,109
near_best_rank_gap_0.5,gradient_stable_rank,48,0.6010096479347804,0.7949729941586682,0.3759110041261078,runs/20260612_181259_stage4_hard_s109,hard_knee,109
penalized_rank_lambda_0.03,gradient_effective_rank,48,0.3810963455761126,0.6147599734095105,1.0235347445855307,runs/20260612_181259_stage4_hard_s109,hard_knee,109
penalized_rank_lambda_0.05,gradient_effective_rank,48,0.58492288344495,0.7637069642223802,0.869753320615471,runs/20260612_181259_stage4_hard_s109,hard_knee,109
penalized_rank_lambda_0.08,true_k_strong,48,0.5630161701058733,0.755842993406739,0.8261946326919336,runs/20260612_181259_stage4_hard_s109,hard_knee,109
penalized_rank_lambda_0.1,gradient_effective_rank,48,0.6078393350458593,0.7329726370675493,0.7665247308100654,runs/20260612_181259_stage4_hard_s109,hard_knee,109
penalized_rank_lambda_0.15,predicted_rank_detectable,48,0.656089560010414,0.7896541229972044,0.631538264644467,runs/20260612_181259_stage4_hard_s109,hard_knee,109
penalized_rank_lambda_0.2,predicted_rank_detectable,48,0.6559066808059384,0.7957488220796818,0.621096505838841,runs/20260612_181259_stage4_hard_s109,hard_knee,109
penalized_rank_lambda_0.3,raw_gradient_effective_rank,48,0.6196009414009424,0.8101764398076933,0.5971801381799436,runs/20260612_181259_stage4_hard_s109,hard_knee,109
penalized_rank_lambda_0.5,predicted_rank_detectable,48,0.6486356821589205,0.7829135329275665,0.5320183063211918,runs/20260612_181259_stage4_hard_s109,hard_knee,109
recovery_rank_0.5,gradient_stable_rank,48,0.74677545363935,0.8821402318096896,0.369761639433851,runs/20260612_181259_stage4_hard_s109,hard_knee,109
recovery_rank_0.6,gradient_stable_rank,48,0.7813360879437038,0.8844967114631953,0.3633380528592011,runs/20260612_181259_stage4_hard_s109,hard_knee,109
recovery_rank_0.7,gradient_stable_rank,48,0.6904017460772927,0.8292248101269617,0.5562947776858536,runs/20260612_181259_stage4_hard_s109,hard_knee,109
recovery_rank_0.8,gradient_effective_rank,45,0.5876693203722857,0.7696259274503495,0.6834504250414739,runs/20260612_181259_stage4_hard_s109,hard_knee,109
recovery_rank_0.85,gradient_effective_rank,44,0.6000460915494237,0.7956321574793803,0.7876439875833359,runs/20260612_181259_stage4_hard_s109,hard_knee,109
recovery_rank_0.9,predicted_rank_detectable,41,0.4849034622703937,0.7536121599317684,0.9896094731408216,runs/20260612_181259_stage4_hard_s109,hard_knee,109
recovery_rank_0.95,predicted_rank_detectable,33,0.2190334476289059,0.4754642220136011,1.305894829364641,runs/20260612_181259_stage4_hard_s109,hard_knee,109
near_best_rank_gap_0.02,gradient_detectable_rank,48,0.600324967485238,0.7497873848401144,0.9570381128842236,runs/20260612_185340_stage4_hard_s113,hard_knee,113
near_best_rank_gap_0.05,gradient_detectable_rank,48,0.7541934871685596,0.8081331644405594,0.723836405954221,runs/20260612_185340_stage4_hard_s113,hard_knee,113
near_best_rank_gap_0.1,predicted_rank_detectable,48,0.8235348549863947,0.8708537314074124,0.5161969637062526,runs/20260612_185340_stage4_hard_s113,hard_knee,113
near_best_rank_gap_0.2,gradient_effective_rank,48,0.8512160960762012,0.8483551734858598,0.410934481273626,runs/20260612_185340_stage4_hard_s113,hard_knee,113
near_best_rank_gap_0.5,raw_gradient_effective_rank,48,0.7549374440167687,0.8842008346160595,0.3449945904273681,runs/20260612_185340_stage4_hard_s113,hard_knee,113
penalized_rank_lambda_0.03,true_k_strong,48,0.5798526515769329,0.7165186186563338,0.8523525033585304,runs/20260612_185340_stage4_hard_s113,hard_knee,113
penalized_rank_lambda_0.05,gradient_detectable_rank,48,0.6748281721017162,0.7903158366135368,0.7624495540897754,runs/20260612_185340_stage4_hard_s113,hard_knee,113
penalized_rank_lambda_0.08,gradient_detectable_rank,48,0.6450199907621442,0.7798347172515485,0.7904167593183,runs/20260612_185340_stage4_hard_s113,hard_knee,113
penalized_rank_lambda_0.1,gradient_effective_rank,48,0.6541238230965256,0.8053719457779923,0.7285765950337868,runs/20260612_185340_stage4_hard_s113,hard_knee,113
penalized_rank_lambda_0.15,gradient_effective_rank,48,0.6898028568079331,0.7941849969013005,0.7022570678688557,runs/20260612_185340_stage4_hard_s113,hard_knee,113
penalized_rank_lambda_0.2,gradient_effective_rank,48,0.733522018213282,0.8119873840352281,0.656640067969684,runs/20260612_185340_stage4_hard_s113,hard_knee,113
penalized_rank_lambda_0.3,gradient_effective_rank,48,0.7055466866829905,0.7979099157684594,0.599906145111893,runs/20260612_185340_stage4_hard_s113,hard_knee,113
penalized_rank_lambda_0.5,predicted_rank_detectable,48,0.7912952051343833,0.8552636067247467,0.4811775990256025,runs/20260612_185340_stage4_hard_s113,hard_knee,113
recovery_rank_0.5,predicted_rank_raw_effective,48,0.8483523873570948,0.9203713848606884,0.3128470295350251,runs/20260612_185340_stage4_hard_s113,hard_knee,113
recovery_rank_0.6,raw_gradient_effective_rank,48,0.9096876382398628,0.9052597966091028,0.2599566868256719,runs/20260612_185340_stage4_hard_s113,hard_knee,113
recovery_rank_0.7,gradient_effective_rank,48,0.8379362631182494,0.8829964501020019,0.4282251819377587,runs/20260612_185340_stage4_hard_s113,hard_knee,113
recovery_rank_0.8,true_k_strong,48,0.7703899768952691,0.8537441499751495,0.6729353535163003,runs/20260612_185340_stage4_hard_s113,hard_knee,113
recovery_rank_0.85,predicted_rank_detectable,44,0.7879336032935649,0.83997696272707,0.5831014325739747,runs/20260612_185340_stage4_hard_s113,hard_knee,113
recovery_rank_0.9,true_k_strong,44,0.6790026256574796,0.7590555321126496,0.9401613746821356,runs/20260612_185340_stage4_hard_s113,hard_knee,113
recovery_rank_0.95,raw_gradient_stable_rank,28,0.6821458467902084,0.8229635269202162,0.9952166825720904,runs/20260612_185340_stage4_hard_s113,hard_knee,113
near_best_rank_gap_0.02,gradient_effective_rank,48,0.7507735577059114,0.766697816211299,0.7890712394578656,runs/20260612_193443_stage4_sample_s101,sample_limited,101
near_best_rank_gap_0.05,gradient_effective_rank,48,0.8026880467769015,0.8104854960286015,0.6537764091146098,runs/20260612_193443_stage4_sample_s101,sample_limited,101
near_best_rank_gap_0.1,gradient_detectable_rank,48,0.757904570671797,0.8138631076578913,0.6053970436917839,runs/20260612_193443_stage4_sample_s101,sample_limited,101
near_best_rank_gap_0.2,gradient_detectable_rank,48,0.8165316262216868,0.8722530392750777,0.379436042013427,runs/20260612_193443_stage4_sample_s101,sample_limited,101
near_best_rank_gap_0.5,raw_gradient_stable_rank,48,0.4547023446303364,0.6734265550687368,0.3839897229523593,runs/20260612_193443_stage4_sample_s101,sample_limited,101
penalized_rank_lambda_0.03,gradient_effective_rank,48,0.67786250037179,0.7840704774960177,0.7670386887344154,runs/20260612_193443_stage4_sample_s101,sample_limited,101
penalized_rank_lambda_0.05,gradient_effective_rank,48,0.7666651015714678,0.800783751584387,0.6954009821966282,runs/20260612_193443_stage4_sample_s101,sample_limited,101
penalized_rank_lambda_0.08,gradient_effective_rank,48,0.8014177015933621,0.857886901840322,0.577020686560816,runs/20260612_193443_stage4_sample_s101,sample_limited,101
penalized_rank_lambda_0.1,gradient_effective_rank,48,0.712664664783877,0.7622118496826007,0.6741281540064257,runs/20260612_193443_stage4_sample_s101,sample_limited,101
penalized_rank_lambda_0.15,gradient_effective_rank,48,0.6806500141759257,0.7717531254398542,0.6158149950805747,runs/20260612_193443_stage4_sample_s101,sample_limited,101
penalized_rank_lambda_0.2,gradient_stable_rank,48,0.7275748065324675,0.7943290595906367,0.5428207185782749,runs/20260612_193443_stage4_sample_s101,sample_limited,101
penalized_rank_lambda_0.3,gradient_effective_rank,48,0.6639187274849263,0.7257035512589304,0.5837371565753476,runs/20260612_193443_stage4_sample_s101,sample_limited,101
penalized_rank_lambda_0.5,raw_gradient_effective_rank,48,0.7237721761158873,0.8019605853044324,0.467632719743735,runs/20260612_193443_stage4_sample_s101,sample_limited,101
