task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,budget,n_adaptation_replicates,actual_cost,requested_budget,final_val_loss,final_val_accuracy,diverged_count
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,512,3,512.0,512.0,0.3623599037528038,0.9970703125,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,1024,3,1024.0,1024.0,0.029051048293088837,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,1536,3,1536.0,1536.0,0.010602440510410767,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,2048,3,2048.0,2048.0,0.0049999388381062335,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,3072,3,3072.0,3072.0,0.002369864746772967,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,4096,3,4096.0,4096.0,0.0017785994859877668,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,6144,3,6144.0,6144.0,0.0010558585587811,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,candidate,False,512,3,512.0,512.0,0.16714420790473616,0.9801432291666666,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,candidate,False,1024,3,1024.0,1024.0,0.011079191851119134,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,candidate,False,1536,3,1472.0,1536.0,0.0061886534288835325,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,candidate,False,2048,3,2048.0,2048.0,0.0026109970155327004,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,candidate,False,3072,3,3072.0,3072.0,0.0016239044489338335,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,candidate,False,4096,3,4096.0,4096.0,0.0012519100710050334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,candidate,False,6144,3,6144.0,6144.0,0.0009399030119917334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,candidate,False,512,3,512.0,512.0,0.31551548279821867,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,candidate,False,1024,3,1024.0,1024.0,0.011036178795620766,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,candidate,False,1536,3,1536.0,1536.0,0.004720778495538934,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,candidate,False,2048,3,2048.0,2048.0,0.0024548435855345665,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,candidate,False,3072,3,3072.0,3072.0,0.0015170522722958333,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,candidate,False,4096,3,4096.0,4096.0,0.0012311082585558999,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,candidate,False,6144,3,6144.0,6144.0,0.0009505127479011334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,512,3,512.0,512.0,0.25855756364762783,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,1024,3,1024.0,1024.0,0.011586166355603602,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,1536,3,1472.0,1536.0,0.005622041372892733,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,2048,3,2048.0,2048.0,0.0026395487657282,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,3072,3,3072.0,3072.0,0.0013430191805430666,1.0,0
