task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,loss_ratio_vs_uniform_fill,actual_cost,uniform_fill_cost,cost_gap_vs_uniform_fill
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,uniform,uniform,uniform,cap_baseline,False,11.0720489944797,-1.0,480.21702902218397,0,1024,-1024
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,effective_rank,effective_rank,effective_rank,candidate,False,-0.0089331900235266,0.0,0.6133564090170284,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.0089331900235266,0.0,0.6133564090170284,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.0111838934244588,0.0,0.5159421546597175,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.0132056461879984,0.0,0.42843727157584655,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.0032983161509037018,0.0,0.8572432918784936,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,uniform,uniform,uniform,cap_baseline,False,11.03813399327919,-1.0,271.3658088837665,0,1024,-1024
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,effective_rank,effective_rank,effective_rank,candidate,False,-0.020354706794023597,0.0,0.5014359519182463,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.020354706794023597,0.0,0.5014359519182463,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.0271636511897669,0.0,0.3346590528227468,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.0265248132636771,0.0,0.3503066190452679,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.019365825457498497,0.0,0.5256574102374202,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,uniform,uniform,uniform,cap_baseline,False,11.043037367518993,-1.0,308.4060725019308,0,1024,-1024
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,effective_rank,effective_rank,effective_rank,candidate,False,-0.023615207290276902,0.0,0.34262124786652365,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.023615207290276902,0.0,0.34262124786652365,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.026546755456365603,0.0,0.2610154651370181,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.023721698671579403,0.0,0.33965683724360984,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.012692829128354802,0.0,0.6466685186847038,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,uniform,uniform,uniform,cap_baseline,False,11.042943564709278,-1.0,307.6028606322928,0,1024,-1024
