task_family,run,seed,scaling_mode,budget,best_loss_condition_id,best_loss_rule,best_loss,best_accuracy_condition_id,best_accuracy_rule,best_accuracy
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,6144,gradient_norm,gradient_norm,0.0009591709992188333,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,512,marginal_gain_edge,marginal_gain_edge,0.43033403530716896,marginal_gain_edge,marginal_gain_edge,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,1024,effective_rank,effective_rank,0.013958943774923634,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,1536,marginal_gain_soft,marginal_gain_soft,0.004263041744707133,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,2048,gradient_norm,gradient_norm,0.0023642719121804664,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,3072,gradient_norm,gradient_norm,0.0014080493031845334,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,4096,gradient_norm,gradient_norm,0.0013168293420069666,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,6144,gradient_norm,gradient_norm,0.0010208862368017,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,512,marginal_gain_soft,marginal_gain_soft,0.12460692494880227,marginal_gain_soft,marginal_gain_soft,0.9823100936524454
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,1024,uniform_fill,uniform_fill,0.0201528982449603,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,1536,uniform_fill,uniform_fill,0.0121063403791689,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,2048,effective_rank,effective_rank,0.009913314703400934,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,3072,gradient_norm,gradient_norm,0.007418975480349167,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,4096,effective_rank,effective_rank,0.006641219034106066,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,512,marginal_gain_soft,marginal_gain_soft,0.13336317207337334,marginal_gain_soft,marginal_gain_soft,0.9798820672910163
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,1024,uniform_fill,uniform_fill,0.027706983356122466,effective_rank,effective_rank,0.9996531390912243
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,1536,uniform_fill,uniform_fill,0.012018676498659899,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,2048,effective_rank,effective_rank,0.009040936213561668,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,3072,gradient_norm,gradient_norm,0.007217723291859567,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,4096,effective_rank,effective_rank,0.006641115361719266,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,512,marginal_gain_soft,marginal_gain_soft,0.14338656843349493,marginal_gain_soft,marginal_gain_soft,0.9778009018383628
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,1024,effective_rank,effective_rank,0.06565395669389461,effective_rank,effective_rank,0.9941033645508152
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,1536,marginal_gain_soft,marginal_gain_soft,0.021509426186895567,marginal_gain_soft,marginal_gain_soft,0.9996531390912243
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,2048,effective_rank,effective_rank,0.008853247913490233,effective_rank,effective_rank,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,3072,gradient_norm,gradient_norm,0.0071032956325582,gradient_norm,gradient_norm,1.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,4096,effective_rank,effective_rank,0.006449551242259867,effective_rank,effective_rank,1.0
