task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,is_primary_allocation_rule,matched_baseline_condition_id,actual_cost,exact_uniform_cost,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,1,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-9.429303463549983e-05,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,1,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1536,1536,1536,-0.0015151132247411,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1472,1472,1472,-0.0027792245382443,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1536,1536,1536,0.0006675173644908007,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,1,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-0.0013857619487679992,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,1,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-0.0013857619487679992,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,1,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1536,1536,1536,-0.0023884545080362996,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1472,1472,1472,-0.002243228431325399,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1536,1536,1536,-0.001258747652172999,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-0.0014111165655776997,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-0.0014111165655776997,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,2,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1536,1536,1536,-0.0009944787598215,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1472,1472,1472,-0.0023989345645531995,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1536,1536,1536,-0.0019221893162466005,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-0.0003012291272170998,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-0.0003012291272170998,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,2,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1536,1536,1536,0.00018246745457869973,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1472,1472,1472,-0.00017203798051920044,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1536,1536,1536,0.0009654689347370999,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-9.562325431039954e-05,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-9.562325431039954e-05,0.0
