task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_adaptation_replicates,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,actual_cost,reference_cost,cost_gap
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,False,4096,3,0.0005552950994266333,0.0,2816.0,4096.0,-1280.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,False,6144,3,3.5887021416166655e-05,0.0,5632.0,6144.0,-512.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,512,3,-0.33013425146540004,0.019205729166666668,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,1024,3,-0.027171373522530032,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,1536,3,-0.0042099393128106994,0.0,1472.0,1536.0,-64.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,2048,3,-0.001867883673791433,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,3072,3,-0.00040611824078953335,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,4096,3,-0.0002806551444034,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,6144,3,-0.0001505880136392333,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,512,3,-0.18176297657191753,0.0390625,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,1024,3,-0.0272143865780284,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,1536,3,-0.0056778142461553,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,2048,3,-0.0020240371037895666,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,3072,3,-0.0005129704174275334,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,4096,3,-0.0003014569568525333,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,6144,3,-0.00013997827772983332,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,3,-0.23872089572250843,0.0390625,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,3,-0.026664399018045567,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,3,-0.0047765513688015,0.0,1472.0,1536.0,-64.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,2048,3,-0.001839331923595933,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,3072,3,-0.0006870035091803001,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,4096,3,-0.00024190357847450006,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6144,3,-0.00025221556764643335,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,512,3,-0.23872089572250843,0.0390625,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1024,3,-0.0156617464963347,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1536,3,-0.004498452763073133,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,2048,3,-0.0011755714173583998,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,3072,3,-0.0006870035091803001,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,4096,3,-0.00029708203995443337,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6144,3,-2.8847542125766618e-05,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,512,3,-0.33013425146540004,0.019205729166666668,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,1024,3,-0.027171373522530032,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,1536,3,-0.0042099393128106994,0.0,1472.0,1536.0,-64.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,2048,3,-0.001647167373448633,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,3072,3,-0.00040611824078953335,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,4096,3,-0.0002806551444034,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,6144,3,-0.0001505880136392333,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,uniform,uniform,uniform,False,512,3,10.595212650795778,-0.9609375,0.0,512.0,-512.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,uniform,uniform,uniform,False,1024,3,11.056778590039661,-1.0,0.0,1024.0,-1024.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,uniform,uniform,uniform,False,1536,3,-0.000521100533660466,0.0,1408.0,1536.0,-128.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,uniform,uniform,uniform,False,2048,3,0.017451209947466833,0.0,1408.0,2048.0,-640.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,uniform,uniform,uniform,False,3072,3,3.625724639276662e-05,0.0,2816.0,3072.0,-256.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,uniform,uniform,uniform,False,4096,3,0.0006298027486385001,0.0,2816.0,4096.0,-1280.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,uniform,uniform,uniform,False,6144,3,1.2545545663000118e-06,0.0,5632.0,6144.0,-512.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,512,3,-0.004760128756364186,-0.0126953125,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1024,3,-0.0237393306257824,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1536,3,-0.004813341908932967,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,2048,3,-0.0020266252589256663,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,3072,3,-0.0004858872319649335,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,4096,3,-0.0004925157215135999,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6144,3,-0.00016852041881066672,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,512,3,-0.10481688628594078,0.013020833333333334,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1024,3,-0.029603627665589233,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1536,3,-0.005109501420520267,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,2048,3,-0.0024396772787440998,0.0,2048.0,2048.0,0.0
